"No.","Time","Source","Destination","Protocol","Length","Info"
"216","4.431828","192.168.56.107","192.168.56.115","TCP","66","445  >  41201 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"217","4.432138","192.168.56.115","192.168.56.107","TCP","60","41201  >  445 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"218","4.435111","192.168.56.115","192.168.56.107","SMB","127","Negotiate Protocol Request"
"219","4.436857","192.168.56.107","192.168.56.115","SMB2","228","Negotiate Protocol Response"
"220","4.437544","192.168.56.115","192.168.56.107","TCP","60","41201  >  445 [ACK] Seq=74 Ack=175 Win=64128 Len=0"
"221","4.475096","192.168.56.115","192.168.56.107","SMB2","266","Negotiate Protocol Request"
"222","4.648071","192.168.56.107","192.168.56.115","TCP","54","445  >  41201 [ACK] Seq=175 Ack=286 Win=2102016 Len=0"
"223","4.820342","192.168.56.107","192.168.56.115","SMB2","294","Negotiate Protocol Response"
"224","4.852685","192.168.56.115","192.168.56.107","SMB2","224","Session Setup Request, NTLMSSP_NEGOTIATE"
"225","4.916325","192.168.56.107","192.168.56.115","SMB2","319","Session Setup Response, Error: STATUS_MORE_PROCESSING_REQUIRED, NTLMSSP_CHALLENGE"
"226","4.938713","192.168.56.115","192.168.56.107","SMB2","436","Session Setup Request, NTLMSSP_AUTH, User: .\\admin"
"227","4.956947","192.168.56.107","192.168.56.115","SMB2","130","Session Setup Response, Error: STATUS_LOGON_FAILURE"
"228","4.987934","192.168.56.115","192.168.56.107","SMB2","178","Encrypted SMB3"
"229","4.988076","192.168.56.107","192.168.56.115","TCP","54","445  >  41201 [RST, ACK] Seq=756 Ack=962 Win=0 Len=0"
"230","4.992008","192.168.56.115","192.168.56.107","TCP","74","37667  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2592390746 TSecr=0 WS=128"
"231","4.992117","192.168.56.107","192.168.56.115","TCP","66","445  >  37667 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"232","4.992362","192.168.56.115","192.168.56.107","TCP","60","37667  >  445 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"233","4.996130","192.168.56.115","192.168.56.107","SMB","127","Negotiate Protocol Request"
"234","5.002823","192.168.56.107","192.168.56.115","SMB2","228","Negotiate Protocol Response"
"235","5.003118","192.168.56.115","192.168.56.107","TCP","60","37667  >  445 [ACK] Seq=74 Ack=175 Win=64128 Len=0"
"236","5.047358","192.168.56.115","192.168.56.107","SMB2","266","Negotiate Protocol Request"
"237","5.068078","192.168.56.107","192.168.56.115","SMB2","294","Negotiate Protocol Response"
"238","5.068551","192.168.56.115","192.168.56.107","TCP","60","37667  >  445 [ACK] Seq=286 Ack=415 Win=64128 Len=0"
"239","5.101683","192.168.56.115","192.168.56.107","SMB2","224","Session Setup Request, NTLMSSP_NEGOTIATE"
"240","5.104063","192.168.56.107","192.168.56.115","SMB2","319","Session Setup Response, Error: STATUS_MORE_PROCESSING_REQUIRED, NTLMSSP_CHALLENGE"
"241","5.131507","192.168.56.115","192.168.56.107","SMB2","436","Session Setup Request, NTLMSSP_AUTH, User: .\\admin"
"242","5.148036","192.168.56.107","192.168.56.115","TCP","54","445  >  37667 [ACK] Seq=680 Ack=838 Win=2101504 Len=0"
"243","5.282030","192.168.56.107","192.168.56.115","SMB2","130","Session Setup Response, Error: STATUS_LOGON_FAILURE"
"244","5.305245","192.168.56.115","192.168.56.107","SMB2","178","Encrypted SMB3"
"245","5.306944","192.168.56.107","192.168.56.115","TCP","54","445  >  37667 [RST, ACK] Seq=756 Ack=962 Win=0 Len=0"
"246","5.310198","192.168.56.115","192.168.56.107","TCP","74","43911  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2592391065 TSecr=0 WS=128"
"247","5.310312","192.168.56.107","192.168.56.115","TCP","66","445  >  43911 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"248","5.310632","192.168.56.115","192.168.56.107","TCP","60","43911  >  445 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"249","5.316277","192.168.56.115","192.168.56.107","SMB","127","Negotiate Protocol Request"
"250","5.329808","192.168.56.107","192.168.56.115","SMB2","228","Negotiate Protocol Response"
"251","5.330404","192.168.56.115","192.168.56.107","TCP","60","43911  >  445 [ACK] Seq=74 Ack=175 Win=64128 Len=0"
"252","5.365233","192.168.56.115","192.168.56.107","SMB2","266","Negotiate Protocol Request"
