"No.","Time","Source","Destination","Protocol","Length","Info"
"951","0.580726","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"952","0.581085","192.168.56.201","192.168.56.107","SMB","436","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\user"
"953","0.581895","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"954","0.583566","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"955","0.583903","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"956","0.584996","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"957","0.585276","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"958","0.586035","192.168.56.201","192.168.56.107","SMB","436","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\user"
"959","0.586595","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"960","0.587422","192.168.56.201","192.168.56.107","SMB","436","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\user"
"961","0.587993","192.168.56.107","192.168.56.201","SMB","93","Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
"962","0.589000","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"963","0.589216","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"964","0.590415","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"965","0.590678","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"966","0.591981","192.168.56.201","192.168.56.107","SMB","206","Session Setup AndX Request, NTLMSSP_NEGOTIATE"
"967","0.592340","192.168.56.107","192.168.56.201","SMB","403","Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
"968","0.592674","192.168.56.201","192.168.56.107","SMB","436","Session Setup AndX Request, NTLMSSP_AUTH, User: 192.168.56.107\\user"
